"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"NCD_FO|14291","14291","USDINR2553081.25PE","USDINR","0.0025","2025-05-30","81.25","0.25","1","OPTCUR","PE","NCD_FO"
"NCD_FO|14292","14292","EURINR2553087.25CE","EURINR","0","2025-05-30","87.25","0.25","1","OPTCUR","CE","NCD_FO"
"NCD_FO|14293","14293","EURINR2553087.25PE","EURINR","0","2025-05-30","87.25","0.25","1","OPTCUR","PE","NCD_FO"
"NCD_FO|14294","14294","JPYINR26MAR61CE","JPYINR","3.0075","2026-03-27","61.0","0.25","1","OPTCUR","CE","NCD_FO"
"NCD_FO|14290","14290","USDINR2553081.25CE","USDINR","6.395","2025-05-30","81.25","0.25","1","OPTCUR","CE","NCD_FO"
"NCD_FO|14295","14295","JPYINR26MAR61PE","JPYINR","3.145","2026-03-27","61.0","0.25","1","OPTCUR","PE","NCD_FO"
"BSE_EQ|INE376L01013","514028","RAJKSYN","RAJKAMAL SYNTHETICS LTD.","41.02","","","0.01","1","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08270","974629","775IRFC33","IRFC-7.75%-15-4-33-PVT","0","","","0.01","1","EQUITY","","BSE_EQ"
"BSE_FO|821343","821343","SENSEX25JUL89100PE","SENSEX","0","2025-07-29","89100.0","0.05","20","OPTIDX","PE","BSE_FO"
"BSE_EQ|INE040A08500","953957","835HDFCB26","HDFCB-8.35%-13-5-26-PVT","0","","","0.01","1","EQUITY","","BSE_EQ"
"BSE_FO|821348","821348","SENSEX25JUN89500PE","SENSEX","0","2025-06-24","89500.0","0.05","20","OPTIDX","PE","BSE_FO"
"BSE_EQ|INE514Q07296","975170","1350PFSP27","PFSPL-13.50%-30-10-27-PVT","0","","","0.01","1","EQUITY","","BSE_EQ"
"NSE_FO|50917","50917","NIFTY2561923550CE","NIFTY","1728.25","2025-06-19","23550.0","0.05","75","OPTIDX","CE","NSE_FO"
"NSE_FO|50918","50918","NIFTY2561923550PE","NIFTY","65.55","2025-06-19","23550.0","0.05","75","OPTIDX","PE","NSE_FO"
"NCD_FO|14270","14270","GBPINR25MAY118CE","GBPINR","0.3325","2025-05-28","118.0","0.25","1","OPTCUR","CE","NCD_FO"
"NCD_FO|14271","14271","GBPINR25MAY118PE","GBPINR","5.66","2025-05-28","118.0","0.25","1","OPTCUR","PE","NCD_FO"
"NCD_FO|14272","14272","GBPINR25MAY118.25CE","GBPINR","0.3","2025-05-28","118.25","0.25","1","OPTCUR","CE","NCD_FO"
"BSE_FO|821336","821336","SENSEX5025JUL26750CE","SENSEX50","0","2025-07-29","26750.0","0.05","75","OPTIDX","CE","BSE_FO"
"BSE_FO|821331","821331","SENSEX2560388700PE","SENSEX","0","2025-06-03","88700.0","0.05","20","OPTIDX","PE","BSE_FO"
